questionname,questiontext,A,B,C,D,Answer 1,Answer 2,answernumbering,correctfeedback,partiallycorrectfeedback,incorrectfeedback,defaultmark
4B 免許,柔道整復師免許について正しいのはどれか。,免許証明書を紛失した場合には柔道整復業務はできない。,柔道整復師名簿に登録されると柔道整復業務ができる。,取り消されると再免許は与えられない。,日本国籍が必要である。,B,,123,「免許証明書を紛失した場合には柔道整復業務はできない。」は誤りで、免許証明書を紛失しても名簿登録があれば業務可能。「柔道整復師名簿に登録されると柔道整復業務ができる。」は正しく、柔道整復師名簿に登録されると柔道整復業務ができる。「取り消されると再免許は与えられない。」は誤りで、取消し後も再免許は可能。「日本国籍が必要である。」は誤りで、日本国籍は不要。,,「免許証明書を紛失した場合には柔道整復業務はできない。」は誤りで、免許証明書を紛失しても名簿登録があれば業務可能。「柔道整復師名簿に登録されると柔道整復業務ができる。」は正しく、柔道整復師名簿に登録されると柔道整復業務ができる。「取り消されると再免許は与えられない。」は誤りで、取消し後も再免許は可能。「日本国籍が必要である。」は誤りで、日本国籍は不要。,1.0000000
4B 免許,柔道整復師として施術を行うことができないのはどれか。,免許証を失ったとき,免許を受けた時と異なる氏名となったとき,免許を受けた時と異なる国籍となったとき,試験に合格し免許の申請をしたとき,D,,123,「免許証を失ったとき」は免許証を失っても名簿に登録されていれば施術可能。「免許を受けた時と異なる氏名となったとき」は氏名が変わっても名簿訂正すれば施術可能。「免許を受けた時と異なる国籍となったとき」は国籍が変わっても施術可能。「試験に合格し免許の申請をしたとき」は試験に合格し免許の申請をしただけでは、まだ名簿に登録されていないため施術を行えない。,,「免許証を失ったとき」は免許証を失っても名簿に登録されていれば施術可能。「免許を受けた時と異なる氏名となったとき」は氏名が変わっても名簿訂正すれば施術可能。「免許を受けた時と異なる国籍となったとき」は国籍が変わっても施術可能。「試験に合格し免許の申請をしたとき」は試験に合格し免許の申請をしただけでは、まだ名簿に登録されていないため施術を行えない。,1.0000000
4B 免許,柔道整復師名簿に登録されないのはどれか。,現住所,性別,試験合格の年月,再免許の旨,A,,123,柔道整復師名簿の登録事項には性別、試験合格の年月、再免許の旨が含まれるが、現住所は登録事項に含まれない。,,柔道整復師名簿の登録事項には性別、試験合格の年月、再免許の旨が含まれるが、現住所は登録事項に含まれない。,1.0000000
4B 免許,柔道整復師の免許申請で不要なのはどれか。,戸籍抄本,医師の診断書,養成施設の卒業証書,合格証書の写し,C,,123,柔道整復師の免許申請に必要な書類は、(1)戸籍抄本（又は謄本）、(2)医師の診断書、(3)合格証書の写し等。養成施設の卒業証書は不要。,,柔道整復師の免許申請に必要な書類は、(1)戸籍抄本（又は謄本）、(2)医師の診断書、(3)合格証書の写し等。養成施設の卒業証書は不要。,1.0000000
4B 免許,柔道整復師免許の取消しについて正しいのはどれか。,保健所長は免許を取り消すことができる。,免許取消しの後に再免許されることはない。,10日以内に免許証明書（免許証）を返納しなければならない。,免許取消しの前に弁明の機会が与えられる。,D,,123,「保健所長は免許を取り消すことができる。」は誤りで、免許を取り消すのは厚生労働大臣であり保健所長ではない。「免許取消しの後に再免許されることはない。」は誤りで、取消し後も再免許の可能性がある。「10日以内に免許証明書（免許証）を返納しなければならない。」は誤りで、取消時の返納期限は5日以内であり10日ではない。「免許取消しの前に弁明の機会が与えられる。」は正しく、免許取消しの前に弁明の機会（聴聞又は弁明の機会の付与）が与えられる。,,「保健所長は免許を取り消すことができる。」は誤りで、免許を取り消すのは厚生労働大臣であり保健所長ではない。「免許取消しの後に再免許されることはない。」は誤りで、取消し後も再免許の可能性がある。「10日以内に免許証明書（免許証）を返納しなければならない。」は誤りで、取消時の返納期限は5日以内であり10日ではない。「免許取消しの前に弁明の機会が与えられる。」は正しく、免許取消しの前に弁明の機会（聴聞又は弁明の機会の付与）が与えられる。,1.0000000
4B 免許,免許の相対的欠格事由として誤っているのはどれか。,アヘン中毒者,伝染性疾病罹患者,常習とばく者,国家試験不合格者,D,,123,相対的欠格事由とは、該当しても必ずしも免許が与えられないわけではなく、厚生労働大臣の判断により免許を与えないことがあるもの。アヘン中毒者、伝染性疾病罹患者（旧法）、常習とばく者（旧法）は欠格事由に該当する。国家試験不合格者はそもそも免許の要件を満たさないのであり、欠格事由とは別の問題。,,相対的欠格事由とは、該当しても必ずしも免許が与えられないわけではなく、厚生労働大臣の判断により免許を与えないことがあるもの。アヘン中毒者、伝染性疾病罹患者（旧法）、常習とばく者（旧法）は欠格事由に該当する。国家試験不合格者はそもそも免許の要件を満たさないのであり、欠格事由とは別の問題。,1.0000000
4B 免許,柔道整復師の免許で正しいのはどれか。,自然人だけに与えられる。,国家試験合格によって効力を持つ。,過去に麻薬中毒者であった者は取得できない。,現住所は免許の登録事項である。,A,,123,「自然人だけに与えられる。」は正しく、免許は自然人（個人）だけに与えられ、法人には与えられない。「国家試験合格によって効力を持つ。」は誤りで、国家試験合格だけでなく、申請・名簿登録が必要。「過去に麻薬中毒者であった者は取得できない。」は誤りで、過去に麻薬中毒者であっても、現在中毒でなければ取得できる。「現住所は免許の登録事項である。」は誤りで、現住所は登録事項ではない。,,「自然人だけに与えられる。」は正しく、免許は自然人（個人）だけに与えられ、法人には与えられない。「国家試験合格によって効力を持つ。」は誤りで、国家試験合格だけでなく、申請・名簿登録が必要。「過去に麻薬中毒者であった者は取得できない。」は誤りで、過去に麻薬中毒者であっても、現在中毒でなければ取得できる。「現住所は免許の登録事項である。」は誤りで、現住所は登録事項ではない。,1.0000000
4B 免許,柔道整復師免許の再交付申請ができるのはどれか。,免許証を紛失したとき,婚姻をしたとき,免許証の記載事項を肇更したとき,免許を取り消された,A,,123,免許証の再交付申請ができるのは、免許証を紛失・破損・汚損したとき。婚姻は書換え交付、記載事項の変更も書換え交付。免許取消しは再交付ではなく再免許。,,免許証の再交付申請ができるのは、免許証を紛失・破損・汚損したとき。婚姻は書換え交付、記載事項の変更も書換え交付。免許取消しは再交付ではなく再免許。,1.0000000
4B 免許,柔道整復師の免許で正しいのはどれか。,柔道整復師は免許証の携帯義務がある。,指定登録機関理事長が免許を与える。,免許を与えるとは柔道整復師名簿に登録することである。,旧法による免許は新規登録をしなければならない。,C,,123,「柔道整復師は免許証の携帯義務がある。」は誤りで、免許証の携帯義務はない。「指定登録機関理事長が免許を与える。」は誤りで、免許を与えるのは厚生労働大臣であり指定登録機関理事長ではない。「免許を与えるとは柔道整復師名簿に登録することである。」は正しく、免許を与えるとは柔道整復師名簿に登録すること。「旧法による免許は新規登録をしなければならない。」は誤りで、旧法の免許は新法でも有効（経過措置）。,,「柔道整復師は免許証の携帯義務がある。」は誤りで、免許証の携帯義務はない。「指定登録機関理事長が免許を与える。」は誤りで、免許を与えるのは厚生労働大臣であり指定登録機関理事長ではない。「免許を与えるとは柔道整復師名簿に登録することである。」は正しく、免許を与えるとは柔道整復師名簿に登録すること。「旧法による免許は新規登録をしなければならない。」は誤りで、旧法の免許は新法でも有効（経過措置）。,1.0000000
4B 免許,免許を取り消されたときの免許証の返納期間は何日以内か。,5日,10日,20日,30日,A,,123,免許を取り消されたときは5日以内に免許証を返納しなければならない。,,免許を取り消されたときは5日以内に免許証を返納しなければならない。,1.0000000
4B 免許,30日以内に手続きを要するのはどれか。,試験合格時の免許申請,免許取消し時の免許証返納,氏名変更時の名簿登録事項の訂正申請,免許証を破った時の再交付申請,C,,123,「試験合格時の免許申請」は免許申請に期限の定めはない。「免許取消し時の免許証返納」は免許取消し時の返納は5日以内。「氏名変更時の名簿登録事項の訂正申請」は正しく、30日以内。「免許証を破った時の再交付申請」は再交付申請に期限の定めはない。,,「試験合格時の免許申請」は免許申請に期限の定めはない。「免許取消し時の免許証返納」は免許取消し時の返納は5日以内。「氏名変更時の名簿登録事項の訂正申請」は正しく、30日以内。「免許証を破った時の再交付申請」は再交付申請に期限の定めはない。,1.0000000
4B 免許,柔道整復師名簿の登録事項で誤っているのはどれか。,性別,開業地都道府県名,免許の取消し処分に関する事項,柔道整復師試験合格の年月,B,,123,柔道整復師名簿の登録事項には性別、免許の取消し処分に関する事項、試験合格の年月が含まれるが、「開業地都道府県名」は登録事項ではない（本籍地都道府県名は登録事項）。,,柔道整復師名簿の登録事項には性別、免許の取消し処分に関する事項、試験合格の年月が含まれるが、「開業地都道府県名」は登録事項ではない（本籍地都道府県名は登録事項）。,1.0000000
4B 免許,名簿登録の消除について誤っているのはどれか。,死亡したとき,失そうの宣告を受けたとき,2か月以内に申請,免許証の返納,C,,123,名簿登録の消除は、死亡したとき又は失踪宣告を受けたとき、30日以内に届出義務者が申請し、免許証を返納する。「2か月以内」ではなく「30日以内」が正しい。,,名簿登録の消除は、死亡したとき又は失踪宣告を受けたとき、30日以内に届出義務者が申請し、免許証を返納する。「2か月以内」ではなく「30日以内」が正しい。,1.0000000
4B 免許,柔道整復師免許の欠格事由はどれか。,麻薬の中毒者,年金の滞納者,科料を受けた者,外国籍の者,A,,123,柔道整復師免許の欠格事由は、(1)麻薬、大麻又はあへんの中毒者、(2)罰金以上の刑に処せられた者、(3)業務に関し犯罪又は不正の行為があった者、(4)心身の障害。年金の滞納、科料（罰金未満）、外国籍は欠格事由ではない。,,柔道整復師免許の欠格事由は、(1)麻薬、大麻又はあへんの中毒者、(2)罰金以上の刑に処せられた者、(3)業務に関し犯罪又は不正の行為があった者、(4)心身の障害。年金の滞納、科料（罰金未満）、外国籍は欠格事由ではない。,1.0000000
4B 免許,柔道整復師の免許事項を登録するのはどれか。,指定試験機関,文部科学省,厚生労働省,都道府県,C,,123,柔道整復師の免許事項を登録するのは厚生労働省（指定登録機関である柔道整復研修試験財団に委託）。指定試験機関は試験実施機関、文部科学省は教育行政、都道府県は施術所の監督。,,柔道整復師の免許事項を登録するのは厚生労働省（指定登録機関である柔道整復研修試験財団に委託）。指定試験機関は試験実施機関、文部科学省は教育行政、都道府県は施術所の監督。,1.0000000
4B 免許,柔道整復師名簿訂正の申請を必要とするのはどれか。,業務の停止処分を受けたとき,免許を取消されたとき,現住所を他の都道府県に変更したとき,婚姻し改正したとき,D,,123,名簿訂正の申請が必要なのは登録事項に変更があったとき。婚姻により改姓した場合は氏名の変更であり訂正申請が必要。業務停止処分や免許取消しは厚生労働大臣が行う処分であり本人の申請不要。現住所は登録事項ではない。,,名簿訂正の申請が必要なのは登録事項に変更があったとき。婚姻により改姓した場合は氏名の変更であり訂正申請が必要。業務停止処分や免許取消しは厚生労働大臣が行う処分であり本人の申請不要。現住所は登録事項ではない。,1.0000000
4B 免許,柔道整復師の免許制度で正しいのはどれか．,無免許の施術は無報酬ならば許される．,「業」は1人に対して複数回の施術を指す,免許は都道府県知事への申請が必要である．,死亡した場合は30日以内に登録の削除申請をする,D,,123,「無免許の施術は無報酬ならば許される．」は誤りで、無報酬でも反復継続の意思があれば業に該当し許されない。「業」は誤りで、1人に対して複数回の施術を指す．」は業は1人に対する複数回ではなく反復継続の意思をもって行うこと。「免許は都道府県知事への申請が必要である．」は誤りで、免許の申請は厚生労働大臣（指定登録機関）に対して行う。「死亡した場合は30日以内に登録の削除申請をする．」は正しく、死亡した場合は30日以内に届出義務者が登録の消除申請をする。,,「無免許の施術は無報酬ならば許される．」は誤りで、無報酬でも反復継続の意思があれば業に該当し許されない。「業」は誤りで、1人に対して複数回の施術を指す．」は業は1人に対する複数回ではなく反復継続の意思をもって行うこと。「免許は都道府県知事への申請が必要である．」は誤りで、免許の申請は厚生労働大臣（指定登録機関）に対して行う。「死亡した場合は30日以内に登録の削除申請をする．」は正しく、死亡した場合は30日以内に届出義務者が登録の消除申請をする。,1.0000000
4B 免許,柔道整復師の免許について正しいのはどれか。,国籍が変わったが氏名は従来通りであったので申請をしなかった。,本人が死亡した場合、免許証は返納されなくてもよい。,再交付を受けたが、失った免許証を発見し、これを５日以内に返納した。,旧法で登録された免許証は無効である。,C,,123,「国籍が変わったが氏名は従来通りであったので申請をしなかった。」は誤りで、国籍が変わっても氏名が同じなら名簿訂正は不要とは限らない。国籍変更は本籍地都道府県名の変更に該当しないが、外国籍の場合は国籍等の変更として訂正が必要な場合がある。「本人が死亡した場合、免許証は返納されなくてもよい。」は誤りで、死亡した場合、免許証は返納しなければならない。「再交付を受けたが、失った免許証を発見し、これを５日以内に返納した。」は正しく、再交付を受けた後、失った免許証を発見した場合は5日以内に返納する。「旧法で登録された免許証は無効である。」は誤りで、旧法の免許は新法でも有効。,,「国籍が変わったが氏名は従来通りであったので申請をしなかった。」は誤りで、国籍が変わっても氏名が同じなら名簿訂正は不要とは限らない。国籍変更は本籍地都道府県名の変更に該当しないが、外国籍の場合は国籍等の変更として訂正が必要な場合がある。「本人が死亡した場合、免許証は返納されなくてもよい。」は誤りで、死亡した場合、免許証は返納しなければならない。「再交付を受けたが、失った免許証を発見し、これを５日以内に返納した。」は正しく、再交付を受けた後、失った免許証を発見した場合は5日以内に返納する。「旧法で登録された免許証は無効である。」は誤りで、旧法の免許は新法でも有効。,1.0000000
4B 免許,柔道整復師免許で正しいのはどれか．,免許は外国でも有効である．,免許申請者には意見聴取が必要である．,医師の診断書は免許申請に必要である．,試験合格者は直ちに柔道整復の業ができる．,C,,123,「免許は外国でも有効である．」は誤りで、免許は日本国内のみ有効で外国では無効。「免許申請者には意見聴取が必要である．」は誤りで、意見聴取は精神機能障害者に対して行うもので、全申請者に対してではない。「医師の診断書は免許申請に必要である．」は正しく、医師の診断書（麻薬中毒者・精神機能障害に関するもの）は免許申請に必要。「試験合格者は直ちに柔道整復の業ができる．」は誤りで、試験合格者は名簿に登録されて初めて業ができる。,,「免許は外国でも有効である．」は誤りで、免許は日本国内のみ有効で外国では無効。「免許申請者には意見聴取が必要である．」は誤りで、意見聴取は精神機能障害者に対して行うもので、全申請者に対してではない。「医師の診断書は免許申請に必要である．」は正しく、医師の診断書（麻薬中毒者・精神機能障害に関するもの）は免許申請に必要。「試験合格者は直ちに柔道整復の業ができる．」は誤りで、試験合格者は名簿に登録されて初めて業ができる。,1.0000000
4B 免許,柔道整復師の名簿登録の消除で誤っているのはどれか。,死亡したとき,失踪宣告を受けたとき,厚生労働大臣の許可が必要,免許証の返納,C,,123,「死亡したとき」は正しく、死亡時は登録消除を申請する。「失踪宣告を受けたとき」は失踪宣告を受けたときも登録消除を申請する（正しい）。「厚生労働大臣の許可が必要」は登録の消除に厚生労働大臣の許可は必要なく、届出義務者が申請する。「免許証の返納」は正しく、必要（正しい）。,,「死亡したとき」は正しく、死亡時は登録消除を申請する。「失踪宣告を受けたとき」は失踪宣告を受けたときも登録消除を申請する（正しい）。「厚生労働大臣の許可が必要」は登録の消除に厚生労働大臣の許可は必要なく、届出義務者が申請する。「免許証の返納」は正しく、必要（正しい）。,1.0000000
4B 免許,柔道整復師の免許証の再交付で誤っているのはどれか。,免許証を破ったとき,免許証の記載事項に変更があったとき,免許証を汚したとき,免許証を失ったとき,B,,123,免許証の再交付ができるのは、(1)破ったとき、(2)汚したとき、(3)失ったときの3つ。「記載事項に変更があったとき」は再交付ではなく書換え交付の手続きとなる。,,免許証の再交付ができるのは、(1)破ったとき、(2)汚したとき、(3)失ったときの3つ。「記載事項に変更があったとき」は再交付ではなく書換え交付の手続きとなる。,1.0000000
4B 免許,柔道整復師の免許で正しいのはどれか。,日本国籍を有しなければならない。,更新制度はない。,免許証を所持しなければ業はできない。,免許を取り消されたら再免許は与えられない。,B,,123,「日本国籍を有しなければならない。」は誤りで、日本国籍は不要。「更新制度はない。」は正しく、柔道整復師の免許に更新制度はなく、一度取得すれば終身有効。「免許証を所持しなければ業はできない。」は誤りで、免許証を所持していなくても名簿に登録されていれば業務可能。「免許を取り消されたら再免許は与えられない。」は誤りで、取消し後も再免許の可能性がある。,,「日本国籍を有しなければならない。」は誤りで、日本国籍は不要。「更新制度はない。」は正しく、柔道整復師の免許に更新制度はなく、一度取得すれば終身有効。「免許証を所持しなければ業はできない。」は誤りで、免許証を所持していなくても名簿に登録されていれば業務可能。「免許を取り消されたら再免許は与えられない。」は誤りで、取消し後も再免許の可能性がある。,1.0000000
4B 免許,柔道整復師の免許について正しいのはどれか。,都道府県知事は免許を交付することができる。,再免許の交付は認められない。,免許の欠格事由は科料の刑に処せられた者である。,厚生労働大臣は免許を取り消すことができる。,D,,123,「都道府県知事は免許を交付することができる。」は誤りで、免許を交付するのは厚生労働大臣であり都道府県知事ではない。「再免許の交付は認められない。」は誤りで、再免許は認められる。「免許の欠格事由は科料の刑に処せられた者である。」は誤りで、欠格事由は「罰金以上の刑」であり科料は含まない。「厚生労働大臣は免許を取り消すことができる。」は正しく、厚生労働大臣は免許を取り消すことができる。,,「都道府県知事は免許を交付することができる。」は誤りで、免許を交付するのは厚生労働大臣であり都道府県知事ではない。「再免許の交付は認められない。」は誤りで、再免許は認められる。「免許の欠格事由は科料の刑に処せられた者である。」は誤りで、欠格事由は「罰金以上の刑」であり科料は含まない。「厚生労働大臣は免許を取り消すことができる。」は正しく、厚生労働大臣は免許を取り消すことができる。,1.0000000
4B 免許,柔道整復師名簿登録の消除について正しいのはどれか。,死亡したときは戸籍法による手続きをもって完了,死亡したときは届出義務者が厚生労働大臣に申請,失踪の宣告を受けたときは届出義務者が都道府県知事に申請,消除の手続きをしないと処罰,B,,123,「死亡したときは戸籍法による手続きをもって完了」は誤りで、死亡時は戸籍法の手続きだけでは不十分で、別途登録消除の申請が必要。「死亡したときは届出義務者が厚生労働大臣に申請」は正しく、死亡したときは届出義務者が厚生労働大臣（指定登録機関）に登録消除を申請する。「失踪の宣告を受けたときは届出義務者が都道府県知事に申請」は誤りで、失踪宣告時の申請先は厚生労働大臣（指定登録機関）であり都道府県知事ではない。「消除の手続きをしないと処罰」は誤りで、消除手続きをしなくても直接の罰則規定はない。,,「死亡したときは戸籍法による手続きをもって完了」は誤りで、死亡時は戸籍法の手続きだけでは不十分で、別途登録消除の申請が必要。「死亡したときは届出義務者が厚生労働大臣に申請」は正しく、死亡したときは届出義務者が厚生労働大臣（指定登録機関）に登録消除を申請する。「失踪の宣告を受けたときは届出義務者が都道府県知事に申請」は誤りで、失踪宣告時の申請先は厚生労働大臣（指定登録機関）であり都道府県知事ではない。「消除の手続きをしないと処罰」は誤りで、消除手続きをしなくても直接の罰則規定はない。,1.0000000
4B 免許,柔道整復師の免許について正しいのはどれか。,試験に合格すれば免許証が送付される。,免許は国外でも有効である。,免許の申請には誓約書を提出する。,免許の申請は厚生労働大臣にする。,D,,123,「試験に合格すれば免許証が送付される。」は誤りで、試験合格だけでは免許証は送付されず、申請が必要。「免許は国外でも有効である。」は誤りで、免許は国内のみ有効。「免許の申請には誓約書を提出する。」は誤りで、免許申請に誓約書は不要。「免許の申請は厚生労働大臣にする。」は正しく、免許の申請は厚生労働大臣（指定登録機関）にする。,,「試験に合格すれば免許証が送付される。」は誤りで、試験合格だけでは免許証は送付されず、申請が必要。「免許は国外でも有効である。」は誤りで、免許は国内のみ有効。「免許の申請には誓約書を提出する。」は誤りで、免許申請に誓約書は不要。「免許の申請は厚生労働大臣にする。」は正しく、免許の申請は厚生労働大臣（指定登録機関）にする。,1.0000000
4B 免許,柔道整復師として施術を行うことができないのはどれか。,免許を受けた内容と異なる氏名になったとき,免許を受けた内容と異なる本籍地となったとき,試験に合格し免許の申請書類を郵送したとき,免許証を失い再交付の手続きをしているとき,C,,123,「免許を受けた内容と異なる氏名になったとき」は氏名が変わっても名簿に登録されていれば施術可能。「免許を受けた内容と異なる本籍地となったとき」は本籍地が変わっても施術可能。「試験に合格し免許の申請書類を郵送したとき」は試験に合格し申請書類を郵送しただけでは名簿に登録されていないため施術不可。「免許証を失い再交付の手続きをしているとき」は免許証を失い再交付手続き中でも名簿登録があれば施術可能。,,「免許を受けた内容と異なる氏名になったとき」は氏名が変わっても名簿に登録されていれば施術可能。「免許を受けた内容と異なる本籍地となったとき」は本籍地が変わっても施術可能。「試験に合格し免許の申請書類を郵送したとき」は試験に合格し申請書類を郵送しただけでは名簿に登録されていないため施術不可。「免許証を失い再交付の手続きをしているとき」は免許証を失い再交付手続き中でも名簿登録があれば施術可能。,1.0000000
4B 免許,柔道整復師の免許申請に必要でないのはどれか。,試験に合格したことを証明するもの,医師の診断書,戸籍謄本,養成施設の卒業証明書,D,,123,免許申請に必要な書類は、(1)試験合格を証明するもの、(2)医師の診断書、(3)戸籍謄本。養成施設の卒業証明書は不要。,,免許申請に必要な書類は、(1)試験合格を証明するもの、(2)医師の診断書、(3)戸籍謄本。養成施設の卒業証明書は不要。,1.0000000
4B 免許,柔道整復師名簿の訂正で正しいのはどれか。,失踪の宣告があった場合は申請が必要である。,死亡した場合は申請が必要である。,申請には免許証明書が必要である。,厚生労働大臣に申請する。,D,,123,「失踪の宣告があった場合は申請が必要である。」は誤りで、失踪宣告は名簿の訂正ではなく登録の消除。「死亡した場合は申請が必要である。」は誤りで、死亡も登録の消除。「申請には免許証明書が必要である。」は誤りで、名簿の訂正申請には戸籍謄本又は抄本が必要であり免許証明書自体は必要。「厚生労働大臣に申請する。」は正しく、名簿の訂正は厚生労働大臣（指定登録機関）に申請する。,,「失踪の宣告があった場合は申請が必要である。」は誤りで、失踪宣告は名簿の訂正ではなく登録の消除。「死亡した場合は申請が必要である。」は誤りで、死亡も登録の消除。「申請には免許証明書が必要である。」は誤りで、名簿の訂正申請には戸籍謄本又は抄本が必要であり免許証明書自体は必要。「厚生労働大臣に申請する。」は正しく、名簿の訂正は厚生労働大臣（指定登録機関）に申請する。,1.0000000
4C 指定登録・試験機関,柔道整復師国家試験の合格証書を交付するのはどれか。,指定試験機関,文部科学大臣,都道府県知事,保険所長,A,,123,柔道整復師国家試験の合格証書を交付するのは「指定試験機関」（公益財団法人柔道整復研修試験財団）が正しい。文部科学大臣、都道府県知事、保健所長には合格証書の交付権限はない。※注：同様の問題が問114にあり、問114では「厚生労働大臣」が正解とされている。出題年度や法改正の経緯により正解が異なる可能性がある。,,柔道整復師国家試験の合格証書を交付するのは「指定試験機関」（公益財団法人柔道整復研修試験財団）が正しい。文部科学大臣、都道府県知事、保健所長には合格証書の交付権限はない。※注：同様の問題が問114にあり、問114では「厚生労働大臣」が正解とされている。出題年度や法改正の経緯により正解が異なる可能性がある。,1.0000000
4C 指定登録・試験機関,柔道整復師法で指定試験機関が不正行為者にできるのはどれか。,試験を無効にする。,受験を停止させる。,期間を定めて試験を受けさせない。,受験手数料を返還する。,B,,123,柔道整復師法で指定試験機関が不正行為者に対してできるのは「受験を停止させる」こと。試験の無効や受験禁止期間の設定は厚生労働大臣の権限。,,柔道整復師法で指定試験機関が不正行為者に対してできるのは「受験を停止させる」こと。試験の無効や受験禁止期間の設定は厚生労働大臣の権限。,1.0000000
4C 指定登録・試験機関,柔道整復師国家試験の合格証書を交付するのはだれか。,内閣総理大臣,厚生労働大臣,文部科学大臣,都道府県知事,B,,123,柔道整復師国家試験の合格証書を交付するのは「厚生労働大臣」が正しい（指定試験機関に試験事務を行わせている場合でも、合格証書の交付権限は厚生労働大臣にある）。内閣総理大臣、文部科学大臣、都道府県知事には合格証書の交付権限はない。※注：同様の問題が問112にあり、問112では「指定試験機関」が正解とされている。出題年度や法改正の経緯により正解が異なる可能性がある。,,柔道整復師国家試験の合格証書を交付するのは「厚生労働大臣」が正しい（指定試験機関に試験事務を行わせている場合でも、合格証書の交付権限は厚生労働大臣にある）。内閣総理大臣、文部科学大臣、都道府県知事には合格証書の交付権限はない。※注：同様の問題が問112にあり、問112では「指定試験機関」が正解とされている。出題年度や法改正の経緯により正解が異なる可能性がある。,1.0000000
4C 指定登録・試験機関,柔道整復師法で指定登録機関を指定するのはどれか．,市町村長,都道府県知事,厚生労働大臣,内閣総理大臣,C,,123,柔道整復師法で指定登録機関を指定するのは厚生労働大臣である。市町村長、都道府県知事、内閣総理大臣ではない。,,柔道整復師法で指定登録機関を指定するのは厚生労働大臣である。市町村長、都道府県知事、内閣総理大臣ではない。,1.0000000
4D 業務,免許資格が業務独占でないのはどれか。,保健師,柔道整復師,薬剤師,歯科医師,A,,123,保健師は名称独占のみで業務独占ではない。柔道整復師、薬剤師、歯科医師は業務独占を有する。保健師の名称は保健師でない者は使用できないが、保健指導自体は保健師でなくても行える。,,保健師は名称独占のみで業務独占ではない。柔道整復師、薬剤師、歯科医師は業務独占を有する。保健師の名称は保健師でない者は使用できないが、保健指導自体は保健師でなくても行える。,1.0000000
4D 業務,柔道整復師に認められているのはどれか。,施術所に簡易エックス線装置を設置する,超音波診断装置で診断する,医師の指示のもとで診療放射線を照射する,患部の状態によって温湿布と冷湿布を貼り分ける,D,,123,「施術所に簡易エックス線装置を設置する」はエックス線装置の設置は医療法により病院・診療所に限られる。「超音波診断装置で診断する」は超音波診断装置での「診断」は医行為であり柔道整復師にはできない。「医師の指示のもとで診療放射線を照射する」は診療放射線の照射は診療放射線技師の業務。「患部の状態によって温湿布と冷湿布を貼り分ける」は温湿布と冷湿布の貼り分けは柔道整復師の施術の範囲内。,,「施術所に簡易エックス線装置を設置する」はエックス線装置の設置は医療法により病院・診療所に限られる。「超音波診断装置で診断する」は超音波診断装置での「診断」は医行為であり柔道整復師にはできない。「医師の指示のもとで診療放射線を照射する」は診療放射線の照射は診療放射線技師の業務。「患部の状態によって温湿布と冷湿布を貼り分ける」は温湿布と冷湿布の貼り分けは柔道整復師の施術の範囲内。,1.0000000
4D 業務,柔道整復師法に定められた施術に関する同意で正しいのはどれか。,同意を得る医師は整形外科を標榜していなければならない,医師による直接の診察を受けずに電話で同意を得る,脱臼の応急手当の場合は医師への引き継ぎを要しない,医師の同意は個々の患者が医師から得ても良い,D,,123,「同意を得る医師は整形外科を標榜していなければならない」は同意を得る医師は整形外科に限らず、何科でもよい。「医師による直接の診察を受けずに電話で同意を得る」は医師が直接診察せずに電話で同意を得ることは不適切（医師の診察が必要）。「脱臼の応急手当の場合は医師への引き継ぎを要しない」は脱臼の応急手当後は医師への引き継ぎ（紹介）が必要。「医師の同意は個々の患者が医師から得ても良い」は医師の同意は患者自身が医師から得てもよい（施術者が直接得る必要はない）。,,「同意を得る医師は整形外科を標榜していなければならない」は同意を得る医師は整形外科に限らず、何科でもよい。「医師による直接の診察を受けずに電話で同意を得る」は医師が直接診察せずに電話で同意を得ることは不適切（医師の診察が必要）。「脱臼の応急手当の場合は医師への引き継ぎを要しない」は脱臼の応急手当後は医師への引き継ぎ（紹介）が必要。「医師の同意は個々の患者が医師から得ても良い」は医師の同意は患者自身が医師から得てもよい（施術者が直接得る必要はない）。,1.0000000
4D 業務,守秘義務が刑法で定められていないのはどれか。,医師,薬剤師,柔道整復師,助産師,C,,123,守秘義務が刑法第134条で定められているのは、医師、薬剤師、助産師などである。柔道整復師の守秘義務は刑法ではなく柔道整復師法第17条の2に規定されている。,,守秘義務が刑法第134条で定められているのは、医師、薬剤師、助産師などである。柔道整復師の守秘義務は刑法ではなく柔道整復師法第17条の2に規定されている。,1.0000000
4D 業務,業務・名称独占で誤っている組合せはどれか。,医師------------業務独占・名称独占,保健師----------名称独占,理学療法士------業務独占,柔道整復師------業務独占,C,,123,「医師------------業務独占・名称独占」は医師は業務独占・名称独占で正しい。「保健師----------名称独占」は保健師は名称独占のみで正しい。「理学療法士------業務独占」は理学療法士は名称独占のみであり業務独占ではない。「柔道整復師------業務独占」は柔道整復師は業務独占で正しい。,,「医師------------業務独占・名称独占」は医師は業務独占・名称独占で正しい。「保健師----------名称独占」は保健師は名称独占のみで正しい。「理学療法士------業務独占」は理学療法士は名称独占のみであり業務独占ではない。「柔道整復師------業務独占」は柔道整復師は業務独占で正しい。,1.0000000
